USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
victor    1691  0.0  0.3 630720 25460 ?        Sl   16:11   0:00 /usr/lib/evolut
victor    1698  0.0  0.0 271856  5924 ?        Sl   16:11   0:00 /usr/lib/gvfs/g
victor    1711  0.0  0.0 259532  4412 ?        Sl   16:11   0:00 /usr/lib/gvfs/g
root      1714  0.0  0.4 635252 35172 ?        Sl   16:11   0:00 /usr/lib/x86_64
victor    1721  0.0  0.1 403616 10996 ?        Sl   16:11   0:00 /usr/lib/gvfs/g
victor    1734  0.0  0.1 363676  8672 ?        Sl   16:11   0:00 /usr/lib/gvfs/g
victor    1742  0.0  0.7 869872 60516 ?        Sl   16:11   0:00 /usr/lib/evolut
victor    1762  0.0  0.0 186056  5396 ?        Sl   16:11   0:00 /usr/lib/gvfs/g
victor    1792  0.0  0.6 888356 53372 ?        Sl   16:11   0:00 /usr/lib/evolut
victor    1803  0.0  0.2 697304 21488 ?        Sl   16:11   0:00 /usr/lib/evolut
victor    1805  0.0  0.6 1069212 54316 ?       Sl   16:11   0:00 /usr/lib/evolut
victor    1823  0.0  0.2 772776 20940 ?        Sl   16:11   0:00 /usr/lib/evolut
victor    1959  0.0  0.2 555476 18612 ?        Sl   16:11   0:00 zeitgeist-datah
victor    1966  0.0  0.0   4508   792 ?        S    16:11   0:00 /bin/sh -c /usr
victor    1970  0.0  0.1 423428 11224 ?        Sl   16:11   0:00 /usr/bin/zeitge
victor    1977  0.0  0.1 321416 15016 ?        Sl   16:11   0:00 /usr/lib/x86_64
victor    2052  0.0  0.3 526288 26172 ?        Sl   16:11   0:00 update-notifier
victor    2075  0.0  0.1 441308 10612 ?        Sl   16:12   0:00 /usr/lib/x86_64
root      2225  0.0  0.0      0     0 ?        S    16:15   0:00 [kworker/4:2]
root      2335  0.0  0.0      0     0 ?        S    16:15   0:00 [kworker/2:1]
root      2336  0.0  0.0      0     0 ?        S    16:16   0:00 [kworker/u16:1]
root      2350  0.0  0.0      0     0 ?        S    16:17   0:00 [kworker/3:0]
victor    2403  0.0  0.1 437808 10688 ?        Sl   16:20   0:00 /usr/lib/gvfs/g
victor    2428  0.0  0.0 361724  7036 ?        Sl   16:20   0:00 /usr/lib/gvfs/g
victor    2436  7.1  5.4 2941296 444744 ?      Sl   16:20   2:45 qtcreator
victor    2453  0.0  0.0  61176  5412 ?        S    16:20   0:00 /usr/lib/x86_64
root      2481  0.0  0.0      0     0 ?        S    16:20   0:00 [kworker/7:0]
root      2763  0.0  0.0      0     0 ?        S    16:25   0:00 [kworker/0:2]
victor    2984 11.3  9.1 2825188 742000 ?      Sl   16:37   2:30 /usr/lib/firefo
victor    3141  0.0  0.3 449540 27724 ?        Sl   16:37   0:00 /usr/lib/x86_64
root      3498  0.0  0.0      0     0 ?        S    16:42   0:00 [kworker/u16:0]
root      3596  0.0  0.0      0     0 ?        S    16:48   0:00 [kworker/u16:2]
root      3822  0.0  0.0      0     0 ?        S    16:56   0:00 [kworker/u16:3]
victor    3885 89.0  1.2 144592 99644 ?        S    16:59   0:00 /usr/bin/gdb -i
victor    3889  8.0  0.7 875036 64936 ?        Ssl  16:59   0:00 /home/victor/UF
victor    3907  0.0  0.0   4508   756 ?        S    16:59   0:00 sh -c ps -aux >
victor    3908  0.0  0.0  37368  3352 ?        R    16:59   0:00 ps -aux
